"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"1945550" "31May2023" "12:38:15" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51488" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1947590" "31May2023" "12:39:51" "eth1" "fwnetels" "Log" "Accept" "https" "61825" "192.100.100.80" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2023198" "31May2023" "13:42:05" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51682" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2024046" "31May2023" "13:42:38" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51569" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2031656" "31May2023" "13:48:09" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53370" "SRV_NS" "23.224.210.46" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2038296" "31May2023" "13:54:13" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51805" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2058816" "31May2023" "14:11:26" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51594" "SRV_NS" "216.123.224.131" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2069408" "31May2023" "14:19:18" "eth1" "fwnetels" "Log" "Accept" "https" "64795" "192.100.100.205" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2069525" "31May2023" "14:19:19" "eth1" "fwnetels" "Log" "Accept" "https" "64827" "192.100.100.205" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2074884" "31May2023" "14:23:05" "eth1" "fwnetels" "Log" "Accept" "https" "64895" "192.100.100.205" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2080243" "31May2023" "14:26:05" "eth1" "fwnetels" "Log" "Accept" "https" "60150" "192.100.100.101" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"2146771" "31May2023" "15:22:36" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52945" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2157231" "31May2023" "15:32:56" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "53057" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"2163040" "31May2023" "15:40:18" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "52715" "SRV_NS" "107.148.48.106" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
